geometry_wkt,density
"POLYGON ((-74.0091337179424 40.77881946776832, -74.00910694616043 40.78062091461136, -74.01147682867047 40.78064124156054, -74.0115035364488 40.77883979343383, -74.0091337179424 40.77881946776832))",0
"POLYGON ((-74.00910694616043 40.78062091461136, -74.00908017195597 40.78242236087568, -74.01145011847544 40.7824426891086, -74.01147682867047 40.78064124156054, -74.00910694616043 40.78062091461136))",0
"POLYGON ((-74.00908017195597 40.78242236087568, -74.00905339532876 40.78422380656125, -74.01142340586345 40.78424413607798, -74.01145011847544 40.7824426891086, -74.00908017195597 40.78242236087568))",0
"POLYGON ((-74.00905339532876 40.78422380656125, -74.00902661627856 40.786025251668086, -74.01139669083427 40.78604558246869, -74.01142340586345 40.78424413607798, -74.00905339532876 40.78422380656125))",0
"POLYGON ((-74.00902661627856 40.786025251668086, -74.00899983480515 40.787826696196156, -74.01136997338766 40.787847028280716, -74.01139669083427 40.78604558246869, -74.00902661627856 40.786025251668086))",0
"POLYGON ((-74.00899983480515 40.787826696196156, -74.00897305090824 40.78962814014548, -74.01134325352335 40.789648473514056, -74.01136997338766 40.787847028280716, -74.00899983480515 40.787826696196156))",0
"POLYGON ((-74.00897305090824 40.78962814014548, -74.0089462645876 40.791429583516035, -74.01131653124109 40.79144991816869, -74.01134325352335 40.789648473514056, -74.00897305090824 40.78962814014548))",0
"POLYGON ((-74.0089462645876 40.791429583516035, -74.00891947584297 40.79323102630783, -74.01128980654065 40.79325136224463, -74.01131653124109 40.79144991816869, -74.0089462645876 40.791429583516035))",0
"POLYGON ((-74.00891947584297 40.79323102630783, -74.00889268467412 40.79503246852083, -74.01126307942178 40.79505280574187, -74.01128980654065 40.79325136224463, -74.00891947584297 40.79323102630783))",0
"POLYGON ((-74.00889268467412 40.79503246852083, -74.00886589108079 40.79683391015506, -74.01123634988421 40.79685424866038, -74.01126307942178 40.79505280574187, -74.00889268467412 40.79503246852083))",0
"POLYGON ((-74.00886589108079 40.79683391015506, -74.00883909506274 40.79863535121048, -74.01120961792772 40.79865569100017, -74.01123634988421 40.79685424866038, -74.00886589108079 40.79683391015506))",0
"POLYGON ((-74.00883909506274 40.79863535121048, -74.0088122966197 40.800436791687105, -74.01118288355204 40.80045713276123, -74.01120961792772 40.79865569100017, -74.00883909506274 40.79863535121048))",0
"POLYGON ((-74.0088122966197 40.800436791687105, -74.00878549575144 40.80223823158494, -74.01115614675693 40.802258573943554, -74.01118288355204 40.80045713276123, -74.0088122966197 40.800436791687105))",0
"POLYGON ((-74.00878549575144 40.80223823158494, -74.00875869245769 40.80403967090395, -74.01112940754216 40.80406001454713, -74.01115614675693 40.802258573943554, -74.00878549575144 40.80223823158494))",0
"POLYGON ((-74.00875869245769 40.80403967090395, -74.00873188673823 40.80584110964415, -74.01110266590743 40.80586145457197, -74.01112940754216 40.80406001454713, -74.00875869245769 40.80403967090395))",0
"POLYGON ((-74.00873188673823 40.80584110964415, -74.0087050785928 40.807642547805536, -74.01107592185255 40.80766289401805, -74.01110266590743 40.80586145457197, -74.00873188673823 40.80584110964415))",0
"POLYGON ((-74.0087050785928 40.807642547805536, -74.00867826802113 40.80944398538807, -74.01104917537724 40.80946433288535, -74.01107592185255 40.80766289401805, -74.0087050785928 40.807642547805536))",0
"POLYGON ((-74.00867826802113 40.80944398538807, -74.00865145502301 40.81124542239178, -74.01102242648125 40.81126577117391, -74.01104917537724 40.80946433288535, -74.00867826802113 40.80944398538807))",0
"POLYGON ((-74.00865145502301 40.81124542239178, -74.00862463959815 40.813046858816634, -74.01099567516435 40.813067208883666, -74.01102242648125 40.81126577117391, -74.00865145502301 40.81124542239178))",0
"POLYGON ((-74.00862463959815 40.813046858816634, -74.00859782174633 40.814848294662646, -74.01096892142627 40.814868646014645, -74.01099567516435 40.813067208883666, -74.00862463959815 40.813046858816634))",0
"POLYGON ((-74.00859782174633 40.814848294662646, -74.00857100146729 40.816649729929786, -74.01094216526677 40.81667008256684, -74.01096892142627 40.814868646014645, -74.00859782174633 40.814848294662646))",0
"POLYGON ((-74.00857100146729 40.816649729929786, -74.00854417876079 40.81845116461806, -74.01091540668561 40.81847151854024, -74.01094216526677 40.81667008256684, -74.00857100146729 40.816649729929786))",0
"POLYGON ((-74.00854417876079 40.81845116461806, -74.00851735362656 40.82025259872747, -74.01088864568253 40.82027295393483, -74.01091540668561 40.81847151854024, -74.00854417876079 40.81845116461806))",0
"POLYGON ((-74.00851735362656 40.82025259872747, -74.00849052606436 40.822054032258016, -74.01086188225727 40.822074388750615, -74.01088864568253 40.82027295393483, -74.00851735362656 40.82025259872747))",0
"POLYGON ((-74.00849052606436 40.822054032258016, -74.00846369607395 40.82385546520966, -74.01083511640962 40.82387582298759, -74.01086188225727 40.822074388750615, -74.00849052606436 40.822054032258016))",0
"POLYGON ((-74.00846369607395 40.82385546520966, -74.00843686365508 40.82565689758241, -74.01080834813929 40.825677256645726, -74.01083511640962 40.82387582298759, -74.00846369607395 40.82385546520966))",0
"POLYGON ((-74.00843686365508 40.82565689758241, -74.00841002880746 40.82745832937628, -74.01078157744607 40.827478689725055, -74.01080834813929 40.825677256645726, -74.00843686365508 40.82565689758241))",0
"POLYGON ((-74.00841002880746 40.82745832937628, -74.00838319153091 40.82925976059123, -74.01075480432966 40.829280122225526, -74.01078157744607 40.827478689725055, -74.00841002880746 40.82745832937628))",0
"POLYGON ((-74.00838319153091 40.82925976059123, -74.00835635182513 40.83106119122725, -74.01072802878987 40.831081554147154, -74.01075480432966 40.829280122225526, -74.00838319153091 40.82925976059123))",0
"POLYGON ((-74.00835635182513 40.83106119122725, -74.00832950968987 40.83286262128437, -74.01070125082639 40.83288298548995, -74.01072802878987 40.831081554147154, -74.00835635182513 40.83106119122725))",0
"POLYGON ((-74.00832950968987 40.83286262128437, -74.00830266512493 40.834664050762576, -74.01067447043901 40.83468441625387, -74.01070125082639 40.83288298548995, -74.00832950968987 40.83286262128437))",0
"POLYGON ((-74.00830266512493 40.834664050762576, -74.00827581813 40.83646547966184, -74.0106476876275 40.83648584643894, -74.01067447043901 40.83468441625387, -74.00830266512493 40.834664050762576))",0
"POLYGON ((-74.00827581813 40.83646547966184, -74.00824896870486 40.83826690798217, -74.01062090239155 40.83828727604515, -74.0106476876275 40.83648584643894, -74.00827581813 40.83646547966184))",0
"POLYGON ((-74.00824896870486 40.83826690798217, -74.00822211684925 40.84006833572355, -74.01059411473095 40.84008870507246, -74.01062090239155 40.83828727604515, -74.00824896870486 40.83826690798217))",0
"POLYGON ((-74.00822211684925 40.84006833572355, -74.00819526256294 40.84186976288597, -74.01056732464545 40.8418901335209, -74.01059411473095 40.84008870507246, -74.00822211684925 40.84006833572355))",0
"POLYGON ((-74.00819526256294 40.84186976288597, -74.00816840584565 40.84367118946946, -74.0105405321348 40.84369156139045, -74.01056732464545 40.8418901335209, -74.00819526256294 40.84186976288597))",0
"POLYGON ((-74.00816840584565 40.84367118946946, -74.00814154669716 40.84547261547395, -74.01051373719874 40.84549298868111, -74.0105405321348 40.84369156139045, -74.00816840584565 40.84367118946946))",0
"POLYGON ((-74.00814154669716 40.84547261547395, -74.0081146851172 40.84727404089949, -74.01048693983702 40.84729441539285, -74.01051373719874 40.84549298868111, -74.00814154669716 40.84547261547395))",0
"POLYGON ((-74.0081146851172 40.84727404089949, -74.00808782110553 40.84907546574604, -74.01046014004942 40.849095841525696, -74.01048693983702 40.84729441539285, -74.0081146851172 40.84727404089949))",0
"POLYGON ((-74.00808782110553 40.84907546574604, -74.00806095466189 40.850876890013616, -74.01043333783564 40.85089726707962, -74.01046014004942 40.849095841525696, -74.00808782110553 40.84907546574604))",0
"POLYGON ((-74.00806095466189 40.850876890013616, -74.00803408578604 40.852678313702185, -74.01040653319548 40.85269869205461, -74.01043333783564 40.85089726707962, -74.00806095466189 40.850876890013616))",0
"POLYGON ((-74.00803408578604 40.852678313702185, -74.00800721447771 40.854479736811776, -74.01037972612866 40.85450011645068, -74.01040653319548 40.85269869205461, -74.00803408578604 40.852678313702185))",0
"POLYGON ((-74.00800721447771 40.854479736811776, -74.00798034073668 40.85628115934235, -74.01035291663494 40.856301540267815, -74.01037972612866 40.85450011645068, -74.00800721447771 40.854479736811776))",0
"POLYGON ((-74.00798034073668 40.85628115934235, -74.00795346456269 40.858082581293914, -74.01032610471407 40.85810296350601, -74.01035291663494 40.856301540267815, -74.00798034073668 40.85628115934235))",0
"POLYGON ((-74.00795346456269 40.858082581293914, -74.00792658595547 40.85988400266646, -74.0102992903658 40.859904386165255, -74.01032610471407 40.85810296350601, -74.00795346456269 40.858082581293914))",0
"POLYGON ((-74.00792658595547 40.85988400266646, -74.00789970491479 40.86168542345998, -74.01027247358986 40.86170580824554, -74.0102992903658 40.859904386165255, -74.00792658595547 40.85988400266646))",0
"POLYGON ((-74.00789970491479 40.86168542345998, -74.0078728214404 40.86348684367446, -74.01024565438605 40.86350722974685, -74.01027247358986 40.86170580824554, -74.00789970491479 40.86168542345998))",0
"POLYGON ((-74.0078728214404 40.86348684367446, -74.00784593553205 40.86528826330992, -74.01021883275408 40.86530865066921, -74.01024565438605 40.86350722974685, -74.0078728214404 40.86348684367446))",0
"POLYGON ((-74.00784593553205 40.86528826330992, -74.00781904718947 40.86708968236632, -74.0101920086937 40.86711007101258, -74.01021883275408 40.86530865066921, -74.00784593553205 40.86528826330992))",0
"POLYGON ((-74.00781904718947 40.86708968236632, -74.00779215641242 40.868891100843676, -74.0101651822047 40.86891149077698, -74.0101920086937 40.86711007101258, -74.00781904718947 40.86708968236632))",0
"POLYGON ((-74.00779215641242 40.868891100843676, -74.00776526320068 40.87069251874197, -74.01013835328679 40.870712909962386, -74.0101651822047 40.86891149077698, -74.00779215641242 40.868891100843676))",0
"POLYGON ((-74.00776526320068 40.87069251874197, -74.00773836755394 40.8724939360612, -74.01011152193972 40.872514328568805, -74.01013835328679 40.870712909962386, -74.00776526320068 40.87069251874197))",0
"POLYGON ((-74.00773836755394 40.8724939360612, -74.007711469472 40.87429535280136, -74.01008468816326 40.87431574659621, -74.01011152193972 40.872514328568805, -74.00773836755394 40.8724939360612))",0
"POLYGON ((-74.007711469472 40.87429535280136, -74.00768456895459 40.87609676896245, -74.01005785195716 40.87611716404461, -74.01008468816326 40.87431574659621, -74.007711469472 40.87429535280136))",0
"POLYGON ((-74.00768456895459 40.87609676896245, -74.00765766600146 40.877898184544435, -74.01003101332114 40.877918580913985, -74.01005785195716 40.87611716404461, -74.00768456895459 40.87609676896245))",0
"POLYGON ((-74.00765766600146 40.877898184544435, -74.00763076061236 40.879699599547344, -74.010004172255 40.879719997204354, -74.01003101332114 40.877918580913985, -74.00765766600146 40.877898184544435))",0
"POLYGON ((-74.00763076061236 40.879699599547344, -74.00760385278703 40.88150101397116, -74.00997732875842 40.88152141291569, -74.010004172255 40.879719997204354, -74.00763076061236 40.879699599547344))",0
"POLYGON ((-74.00719294438164 40.749975885833635, -74.00716614741486 40.751777340649824, -74.0095350041424 40.75179769567955, -74.00956173719835 40.74999623957772, -74.00719294438164 40.749975885833635))",0
"POLYGON ((-74.00716614741486 40.751777340649824, -74.00713934802377 40.7535787948873, -74.00950826866794 40.75359915120274, -74.0095350041424 40.75179769567955, -74.00716614741486 40.751777340649824))",0
"POLYGON ((-74.00713934802377 40.7535787948873, -74.00711254620813 40.75538024854608, -74.00948153077472 40.755400606147305, -74.00950826866794 40.75359915120274, -74.00713934802377 40.7535787948873))",0
"POLYGON ((-74.00711254620813 40.75538024854608, -74.00708574196773 40.757181701626166, -74.00945479046248 40.75720206051325, -74.00948153077472 40.755400606147305, -74.00711254620813 40.75538024854608))",0
"POLYGON ((-74.00708574196773 40.757181701626166, -74.00705893530225 40.758983154127534, -74.00942804773099 40.75900351430054, -74.00945479046248 40.75720206051325, -74.00708574196773 40.757181701626166))",0
"POLYGON ((-74.00705893530225 40.758983154127534, -74.0070321262115 40.76078460605018, -74.00940130257999 40.76080496750917, -74.00942804773099 40.75900351430054, -74.00705893530225 40.758983154127534))",0
"POLYGON ((-74.0070321262115 40.76078460605018, -74.00700531469522 40.7625860573941, -74.00937455500923 40.76260642013916, -74.00940130257999 40.76080496750917, -74.0070321262115 40.76078460605018))",0
"POLYGON ((-74.00700531469522 40.7625860573941, -74.00697850075314 40.764387508159295, -74.00934780501846 40.76440787219047, -74.00937455500923 40.76260642013916, -74.00700531469522 40.7625860573941))",0
"POLYGON ((-74.00697850075314 40.764387508159295, -74.006951684385 40.766188958345744, -74.00932105260745 40.76620932366312, -74.00934780501846 40.76440787219047, -74.00697850075314 40.764387508159295))",0
"POLYGON ((-74.006951684385 40.766188958345744, -74.00692486559062 40.767990407953455, -74.00929429777592 40.768010774557105, -74.00932105260745 40.76620932366312, -74.006951684385 40.766188958345744))",0
"POLYGON ((-74.00692486559062 40.767990407953455, -74.00689804436968 40.76979185698239, -74.00926754052367 40.769812224872375, -74.00929429777592 40.768010774557105, -74.00692486559062 40.767990407953455))",0
"POLYGON ((-74.00689804436968 40.76979185698239, -74.00687122072195 40.77159330543259, -74.0092407808504 40.77161367460898, -74.00926754052367 40.769812224872375, -74.00689804436968 40.76979185698239))",0
"POLYGON ((-74.00687122072195 40.77159330543259, -74.0068443946472 40.77339475330402, -74.0092140187559 40.773415123766874, -74.0092407808504 40.77161367460898, -74.00687122072195 40.77159330543259))",0
"POLYGON ((-74.0068443946472 40.77339475330402, -74.00681756614517 40.77519620059668, -74.00918725423989 40.77521657234607, -74.0092140187559 40.773415123766874, -74.0068443946472 40.77339475330402))",0
"POLYGON ((-74.00681756614517 40.77519620059668, -74.0067907352156 40.77699764731056, -74.00916048730215 40.77701802034656, -74.00918725423989 40.77521657234607, -74.00681756614517 40.77519620059668))",0
"POLYGON ((-74.0067907352156 40.77699764731056, -74.00676390185826 40.77879909344565, -74.0091337179424 40.77881946776832, -74.00916048730215 40.77701802034656, -74.0067907352156 40.77699764731056))",0
"POLYGON ((-74.00676390185826 40.77879909344565, -74.0067370660729 40.78060053900194, -74.00910694616043 40.78062091461136, -74.0091337179424 40.77881946776832, -74.00676390185826 40.77879909344565))",0
"POLYGON ((-74.0067370660729 40.78060053900194, -74.00671022785923 40.78240198397944, -74.00908017195597 40.78242236087568, -74.00910694616043 40.78062091461136, -74.0067370660729 40.78060053900194))",0
"POLYGON ((-74.00671022785923 40.78240198397944, -74.00668338721705 40.784203428378135, -74.00905339532876 40.78422380656125, -74.00908017195597 40.78242236087568, -74.00671022785923 40.78240198397944))",0
"POLYGON ((-74.00668338721705 40.784203428378135, -74.0066565441461 40.786004872198, -74.00902661627856 40.786025251668086, -74.00905339532876 40.78422380656125, -74.00668338721705 40.784203428378135))",0
"POLYGON ((-74.0066565441461 40.786004872198, -74.00662969864612 40.78780631543906, -74.00899983480515 40.787826696196156, -74.00902661627856 40.786025251668086, -74.0066565441461 40.786004872198))",0
"POLYGON ((-74.00662969864612 40.78780631543906, -74.00660285071687 40.7896077581013, -74.00897305090824 40.78962814014548, -74.00899983480515 40.787826696196156, -74.00662969864612 40.78780631543906))",0
"POLYGON ((-74.00660285071687 40.7896077581013, -74.00657600035808 40.79140920018468, -74.0089462645876 40.791429583516035, -74.00897305090824 40.78962814014548, -74.00660285071687 40.7896077581013))",0
"POLYGON ((-74.00657600035808 40.79140920018468, -74.00654914756953 40.79321064168924, -74.00891947584297 40.79323102630783, -74.0089462645876 40.791429583516035, -74.00657600035808 40.79140920018468))",0
"POLYGON ((-74.00654914756953 40.79321064168924, -74.00652229235095 40.79501208261495, -74.00889268467412 40.79503246852083, -74.00891947584297 40.79323102630783, -74.00654914756953 40.79321064168924))",0
"POLYGON ((-74.00652229235095 40.79501208261495, -74.00649543470209 40.79681352296182, -74.00886589108079 40.79683391015506, -74.00889268467412 40.79503246852083, -74.00652229235095 40.79501208261495))",0
"POLYGON ((-74.00649543470209 40.79681352296182, -74.00646857462273 40.798614962729815, -74.00883909506274 40.79863535121048, -74.00886589108079 40.79683391015506, -74.00649543470209 40.79681352296182))",0
"POLYGON ((-74.00646857462273 40.798614962729815, -74.00644171211258 40.800416401918945, -74.0088122966197 40.800436791687105, -74.00883909506274 40.79863535121048, -74.00646857462273 40.798614962729815))",0
"POLYGON ((-74.00644171211258 40.800416401918945, -74.00641484717141 40.802217840529195, -74.00878549575144 40.80223823158494, -74.0088122966197 40.800436791687105, -74.00644171211258 40.800416401918945))",0
"POLYGON ((-74.00641484717141 40.802217840529195, -74.00638797979897 40.80401927856057, -74.00875869245769 40.80403967090395, -74.00878549575144 40.80223823158494, -74.00641484717141 40.802217840529195))",0
"POLYGON ((-74.00638797979897 40.80401927856057, -74.00636110999501 40.805820716013066, -74.00873188673823 40.80584110964415, -74.00875869245769 40.80403967090395, -74.00638797979897 40.80401927856057))",0
"POLYGON ((-74.00636110999501 40.805820716013066, -74.00633423775928 40.80762215288666, -74.0087050785928 40.807642547805536, -74.00873188673823 40.80584110964415, -74.00636110999501 40.805820716013066))",0
"POLYGON ((-74.00633423775928 40.80762215288666, -74.00630736309152 40.80942358918135, -74.00867826802113 40.80944398538807, -74.0087050785928 40.807642547805536, -74.00633423775928 40.80762215288666))",0
"POLYGON ((-74.00630736309152 40.80942358918135, -74.0062804859915 40.81122502489714, -74.00865145502301 40.81124542239178, -74.00867826802113 40.80944398538807, -74.00630736309152 40.80942358918135))",0
"POLYGON ((-74.0062804859915 40.81122502489714, -74.00625360645894 40.81302646003402, -74.00862463959815 40.813046858816634, -74.00865145502301 40.81124542239178, -74.0062804859915 40.81122502489714))",0
"POLYGON ((-74.00625360645894 40.81302646003402, -74.00622672449363 40.81482789459197, -74.00859782174633 40.814848294662646, -74.00862463959815 40.813046858816634, -74.00625360645894 40.81302646003402))",0
"POLYGON ((-74.00622672449363 40.81482789459197, -74.00619984009529 40.81662932857099, -74.00857100146729 40.816649729929786, -74.00859782174633 40.814848294662646, -74.00622672449363 40.81482789459197))",0
"POLYGON ((-74.00619984009529 40.81662932857099, -74.00617295326369 40.81843076197108, -74.00854417876079 40.81845116461806, -74.00857100146729 40.816649729929786, -74.00619984009529 40.81662932857099))",0
"POLYGON ((-74.00617295326369 40.81843076197108, -74.00614606399856 40.82023219479223, -74.00851735362656 40.82025259872747, -74.00854417876079 40.81845116461806, -74.00617295326369 40.81843076197108))",0
"POLYGON ((-74.00614606399856 40.82023219479223, -74.00611917229965 40.822033627034436, -74.00849052606436 40.822054032258016, -74.00851735362656 40.82025259872747, -74.00614606399856 40.82023219479223))",0
"POLYGON ((-74.00611917229965 40.822033627034436, -74.00609227816673 40.82383505869769, -74.00846369607395 40.82385546520966, -74.00849052606436 40.822054032258016, -74.00611917229965 40.822033627034436))",0
"POLYGON ((-74.00609227816673 40.82383505869769, -74.00606538159956 40.82563648978198, -74.00843686365508 40.82565689758241, -74.00846369607395 40.82385546520966, -74.00609227816673 40.82383505869769))",0
"POLYGON ((-74.00606538159956 40.82563648978198, -74.00603848259783 40.8274379202873, -74.00841002880746 40.82745832937628, -74.00843686365508 40.82565689758241, -74.00606538159956 40.82563648978198))",0
"POLYGON ((-74.00603848259783 40.8274379202873, -74.00601158116136 40.829239350213655, -74.00838319153091 40.82925976059123, -74.00841002880746 40.82745832937628, -74.00603848259783 40.8274379202873))",0
"POLYGON ((-74.00601158116136 40.829239350213655, -74.00598467728986 40.831040779561015, -74.00835635182513 40.83106119122725, -74.00838319153091 40.82925976059123, -74.00601158116136 40.829239350213655))",0
"POLYGON ((-74.00598467728986 40.831040779561015, -74.00595777098309 40.8328422083294, -74.00832950968987 40.83286262128437, -74.00835635182513 40.83106119122725, -74.00598467728986 40.831040779561015))",0
"POLYGON ((-74.00595777098309 40.8328422083294, -74.00593086224079 40.834643636518784, -74.00830266512493 40.834664050762576, -74.00832950968987 40.83286262128437, -74.00595777098309 40.8328422083294))",0
"POLYGON ((-74.00593086224079 40.834643636518784, -74.00590395106273 40.836445064129165, -74.00827581813 40.83646547966184, -74.00830266512493 40.834664050762576, -74.00593086224079 40.834643636518784))",0
"POLYGON ((-74.00590395106273 40.836445064129165, -74.00587703744864 40.83824649116055, -74.00824896870486 40.83826690798217, -74.00827581813 40.83646547966184, -74.00590395106273 40.836445064129165))",0
"POLYGON ((-74.00587703744864 40.83824649116055, -74.00585012139828 40.84004791761291, -74.00822211684925 40.84006833572355, -74.00824896870486 40.83826690798217, -74.00587703744864 40.83824649116055))",0
"POLYGON ((-74.00585012139828 40.84004791761291, -74.00582320291139 40.84184934348625, -74.00819526256294 40.84186976288597, -74.00822211684925 40.84006833572355, -74.00585012139828 40.84004791761291))",0
"POLYGON ((-74.00582320291139 40.84184934348625, -74.00579628198773 40.84365076878057, -74.00816840584565 40.84367118946946, -74.00819526256294 40.84186976288597, -74.00582320291139 40.84184934348625))",0
"POLYGON ((-74.00579628198773 40.84365076878057, -74.00576935862705 40.84545219349585, -74.00814154669716 40.84547261547395, -74.00816840584565 40.84367118946946, -74.00579628198773 40.84365076878057))",0
"POLYGON ((-74.00576935862705 40.84545219349585, -74.0057424328291 40.84725361763208, -74.0081146851172 40.84727404089949, -74.00814154669716 40.84547261547395, -74.00576935862705 40.84545219349585))",0
"POLYGON ((-74.0057424328291 40.84725361763208, -74.00571550459361 40.84905504118928, -74.00808782110553 40.84907546574604, -74.0081146851172 40.84727404089949, -74.0057424328291 40.84725361763208))",0
"POLYGON ((-74.00571550459361 40.84905504118928, -74.00568857392034 40.85085646416742, -74.00806095466189 40.850876890013616, -74.00808782110553 40.84907546574604, -74.00571550459361 40.84905504118928))",0
"POLYGON ((-74.00568857392034 40.85085646416742, -74.00566164080905 40.852657886566504, -74.00803408578604 40.852678313702185, -74.00806095466189 40.850876890013616, -74.00568857392034 40.85085646416742))",0
"POLYGON ((-74.00566164080905 40.852657886566504, -74.0056347052595 40.85445930838652, -74.00800721447771 40.854479736811776, -74.00803408578604 40.852678313702185, -74.00566164080905 40.852657886566504))",0
"POLYGON ((-74.0056347052595 40.85445930838652, -74.0056077672714 40.85626072962745, -74.00798034073668 40.85628115934235, -74.00800721447771 40.854479736811776, -74.0056347052595 40.85445930838652))",0
"POLYGON ((-74.0056077672714 40.85626072962745, -74.00558082684454 40.85806215028931, -74.00795346456269 40.858082581293914, -74.00798034073668 40.85628115934235, -74.0056077672714 40.85626072962745))",0
"POLYGON ((-74.00558082684454 40.85806215028931, -74.00555388397862 40.85986357037207, -74.00792658595547 40.85988400266646, -74.00795346456269 40.858082581293914, -74.00558082684454 40.85806215028931))",0
"POLYGON ((-74.00555388397862 40.85986357037207, -74.00552693867344 40.861664989875756, -74.00789970491479 40.86168542345998, -74.00792658595547 40.85988400266646, -74.00555388397862 40.85986357037207))",0
"POLYGON ((-74.00552693867344 40.861664989875756, -74.00549999092873 40.86346640880032, -74.0078728214404 40.86348684367446, -74.00789970491479 40.86168542345998, -74.00552693867344 40.861664989875756))",0
"POLYGON ((-74.00549999092873 40.86346640880032, -74.00547304074423 40.86526782714579, -74.00784593553205 40.86528826330992, -74.0078728214404 40.86348684367446, -74.00549999092873 40.86346640880032))",0
"POLYGON ((-74.00547304074423 40.86526782714579, -74.0054460881197 40.86706924491214, -74.00781904718947 40.86708968236632, -74.00784593553205 40.86528826330992, -74.00547304074423 40.86526782714579))",0
"POLYGON ((-74.0054460881197 40.86706924491214, -74.00541913305489 40.86887066209936, -74.00779215641242 40.868891100843676, -74.00781904718947 40.86708968236632, -74.0054460881197 40.86706924491214))",0
"POLYGON ((-74.00541913305489 40.86887066209936, -74.00539217554953 40.870672078707486, -74.00776526320068 40.87069251874197, -74.00779215641242 40.868891100843676, -74.00541913305489 40.86887066209936))",0
"POLYGON ((-74.00539217554953 40.870672078707486, -74.0053652156034 40.87247349473644, -74.00773836755394 40.8724939360612, -74.00776526320068 40.87069251874197, -74.00539217554953 40.870672078707486))",0
"POLYGON ((-74.0053652156034 40.87247349473644, -74.00533825321621 40.87427491018627, -74.007711469472 40.87429535280136, -74.00773836755394 40.8724939360612, -74.0053652156034 40.87247349473644))",0
"POLYGON ((-74.00533825321621 40.87427491018627, -74.00531128838774 40.87607632505697, -74.00768456895459 40.87609676896245, -74.007711469472 40.87429535280136, -74.00533825321621 40.87427491018627))",0
"POLYGON ((-74.00531128838774 40.87607632505697, -74.00528432111776 40.87787773934849, -74.00765766600146 40.877898184544435, -74.00768456895459 40.87609676896245, -74.00531128838774 40.87607632505697))",0
"POLYGON ((-74.00528432111776 40.87787773934849, -74.00525735140594 40.879679153060856, -74.00763076061236 40.879699599547344, -74.00765766600146 40.877898184544435, -74.00528432111776 40.87787773934849))",0
