Polygon Number,Longitude,Latitude
17,-73.917638,40.805047
17,-73.91766,40.805048
17,-73.917652,40.80521
17,-73.917626,40.805209
18,-73.907229,40.844417
18,-73.907233,40.844358
18,-73.907495,40.844367
18,-73.907492,40.844426
18,-73.907229,40.844417
19,-73.910563,40.836044
19,-73.910597,40.835984
19,-73.910816,40.836054
19,-73.910783,40.836114
19,-73.910563,40.836044
20,-73.905364,40.838638
20,-73.905436,40.838465
20,-73.905726,40.838533
20,-73.905649,40.838718
20,-73.905649,40.838718
20,-73.905621,40.838786
20,-73.905435,40.838742
20,-73.905468,40.838663
20,-73.905364,40.838638
21,-73.895033,40.832053
21,-73.894998,40.831797
21,-73.895179,40.831783
21,-73.895189,40.831854
21,-73.89525,40.831849
21,-73.895275,40.832034
21,-73.895033,40.832053
22,-73.888318,40.840862
22,-73.88868,40.840387
22,-73.88867,40.840382
22,-73.888795,40.840217
22,-73.888934,40.840277
22,-73.888875,40.840356
22,-73.888919,40.840375
22,-73.888963,40.840317
22,-73.889088,40.840372
22,-73.888975,40.840519
22,-73.888834,40.840458
22,-73.888542,40.840842
22,-73.888485,40.840817
22,-73.888417,40.840905
22,-73.888318,40.840862
23,-73.886633,40.844807
23,-73.886856,40.844922
23,-73.886814,40.844969
23,-73.886591,40.844855
23,-73.886633,40.844807
24,-73.888823,40.844798
24,-73.889024,40.844525
24,-73.88995,40.844914
24,-73.889765,40.845165
24,-73.889083,40.844878
24,-73.889067,40.8449
24,-73.888823,40.844798
25,-73.876797,40.838659
25,-73.876753,40.838739
25,-73.876732,40.838733
25,-73.876603,40.838969
25,-73.876429,40.838914
25,-73.876602,40.838598
25,-73.876797,40.838659
26,-73.874887,40.839119
26,-73.874661,40.839044
26,-73.874735,40.838915
26,-73.874962,40.838989
26,-73.874887,40.839119
27,-73.874969,40.839158
27,-73.87505,40.83901
27,-73.87521,40.83906
27,-73.875129,40.839208
27,-73.874969,40.839158
28,-73.88181,40.844567
28,-73.88201,40.844317
28,-73.882053,40.844337
28,-73.882484,40.843798
28,-73.882406,40.843762
28,-73.882563,40.843566
28,-73.882698,40.843628
28,-73.882642,40.843698
28,-73.882674,40.843712
28,-73.882726,40.843647
28,-73.882858,40.843707
28,-73.882697,40.843908
28,-73.882652,40.843887
28,-73.882173,40.844485
28,-73.882199,40.844497
28,-73.882175,40.844527
28,-73.882136,40.844509
28,-73.88208,40.844579
28,-73.882186,40.844627
28,-73.882204,40.844605
28,-73.882357,40.844675
28,-73.882429,40.844584
28,-73.882377,40.844561
28,-73.882605,40.844275
28,-73.882683,40.844311
28,-73.882722,40.844262
28,-73.882807,40.844301
28,-73.882578,40.844586
28,-73.882622,40.844606
28,-73.882427,40.844849
28,-73.88181,40.844567
29,-73.893743,40.833266
29,-73.893649,40.833271
29,-73.893641,40.833182
29,-73.893735,40.833177
29,-73.893743,40.833266
30,-73.893287,40.835371
30,-73.893123,40.835428
30,-73.893084,40.835363
30,-73.893248,40.835306
30,-73.893287,40.835371
31,-73.887198,40.837905
31,-73.88721,40.837909
31,-73.886962,40.838394
31,-73.886855,40.838363
31,-73.886824,40.838332
31,-73.886775,40.838317
31,-73.886745,40.838287
31,-73.886734,40.838284
31,-73.886889,40.838441
31,-73.885996,40.838946
31,-73.88594,40.83893
31,-73.885741,40.838729
31,-73.887198,40.837905
32,-73.881128,40.832373
32,-73.881203,40.832279
32,-73.881407,40.832371
32,-73.881332,40.832465
32,-73.881128,40.832373
33,-73.872337,40.833221
33,-73.872113,40.833246
33,-73.872091,40.833135
33,-73.872315,40.83311
33,-73.872337,40.833221
34,-73.87962,40.833722
34,-73.879531,40.833833
34,-73.879282,40.833719
34,-73.87932,40.833671
34,-73.879284,40.833654
34,-73.879334,40.833591
34,-73.87962,40.833722
35,-73.915008,40.822616
35,-73.915074,40.822487
35,-73.915221,40.822529
35,-73.915156,40.822659
35,-73.915008,40.822616
36,-73.914921,40.823747
36,-73.914975,40.823615
36,-73.915503,40.823739
36,-73.915494,40.823759
36,-73.91557,40.823777
36,-73.915525,40.823888
36,-73.914921,40.823747
37,-73.899688,40.822047
37,-73.900239,40.822159
37,-73.900235,40.822171
37,-73.900377,40.8222
37,-73.900215,40.822657
37,-73.899885,40.82259
37,-73.899951,40.822404
37,-73.900163,40.822447
37,-73.900191,40.822366
37,-73.900157,40.822359
37,-73.900141,40.822405
37,-73.900021,40.82238
37,-73.900055,40.822284
37,-73.899887,40.822249
37,-73.899813,40.822458
37,-73.899726,40.82244
37,-73.899719,40.82246
37,-73.89954,40.822424
37,-73.899572,40.822336
37,-73.899734,40.822369
37,-73.89979,40.822212
37,-73.899641,40.822181
37,-73.899688,40.822047
38,-73.896435,40.825219
38,-73.896325,40.825218
38,-73.896327,40.825107
38,-73.896654,40.82511
38,-73.896646,40.825645
38,-73.896428,40.825643
38,-73.896435,40.825219
39,-73.910233,40.820752
39,-73.910401,40.820783
39,-73.910335,40.820983
39,-73.910464,40.821007
39,-73.910425,40.821127
39,-73.910329,40.821109
39,-73.910318,40.821142
39,-73.910411,40.82116
39,-73.910376,40.821268
39,-73.910073,40.821211
39,-73.910111,40.821095
39,-73.910203,40.821113
39,-73.910217,40.821072
39,-73.910133,40.821056
39,-73.910233,40.820752
40,-73.909947,40.821641
40,-73.909972,40.821577
40,-73.910145,40.821616
40,-73.910119,40.82168
40,-73.909947,40.821641
41,-73.890753,40.82895
41,-73.890158,40.828945
41,-73.890159,40.828842
41,-73.890755,40.828847
41,-73.890753,40.82895
42,-73.881971,40.827754
42,-73.882256,40.827719
42,-73.882281,40.827834
42,-73.881996,40.827869
42,-73.881971,40.827754
43,-73.878597,40.826566
43,-73.878876,40.827983
43,-73.878604,40.828013
43,-73.878553,40.827753
43,-73.878546,40.827754
43,-73.87852,40.827617
43,-73.878514,40.827617
43,-73.878488,40.827482
43,-73.878486,40.827483
43,-73.87846,40.827348
43,-73.878452,40.827348
43,-73.878425,40.827211
43,-73.878417,40.827212
43,-73.878391,40.82708
43,-73.878387,40.827081
43,-73.878333,40.826804
43,-73.878328,40.826804
43,-73.878301,40.826671
43,-73.878287,40.826673
43,-73.878273,40.826602
43,-73.878597,40.826566
44,-73.877496,40.82791
44,-73.877518,40.828023
44,-73.877272,40.828051
44,-73.877249,40.827938
44,-73.877496,40.82791
45,-73.881065,40.830048
45,-73.881291,40.830019
45,-73.881317,40.830134
45,-73.881091,40.830163
45,-73.881065,40.830048
46,-73.883419,40.818497
46,-73.883233,40.81852
46,-73.88321,40.818409
46,-73.883395,40.818386
46,-73.883419,40.818497
47,-73.891523,40.820225
47,-73.891852,40.819877
47,-73.891908,40.819908
47,-73.892582,40.819194
47,-73.892836,40.819331
47,-73.891833,40.820393
47,-73.891523,40.820225
48,-73.882529,40.817973
48,-73.882617,40.817967
48,-73.882626,40.818034
48,-73.882538,40.818041
48,-73.882529,40.817973
49,-73.870786,40.833514
49,-73.871029,40.833493
49,-73.871047,40.833607
49,-73.870803,40.833628
49,-73.870786,40.833514
50,-73.8692407152074,40.8349081861731
50,-73.869634,40.834903
50,-73.869637,40.835018
50,-73.869568,40.835019
50,-73.869569,40.835075
50,-73.869487,40.835076
50,-73.869487,40.835059
50,-73.869401,40.83506
50,-73.869399,40.834971
50,-73.8692385836891,40.8349731974837
50,-73.8692407152074,40.8349081861731
51,-73.870765,40.836619
51,-73.870483,40.836569
51,-73.870502,40.836508
51,-73.870784,40.836558
51,-73.870765,40.836619
52,-73.8695585436356,40.8252144191128
52,-73.869598,40.82521
52,-73.869612,40.825285
52,-73.869825,40.825261
52,-73.869844,40.825358
52,-73.869639,40.82538
52,-73.869651,40.825441
52,-73.8695507412117,40.8254523930441
52,-73.8695585436356,40.8252144191128
53,-73.870492,40.821761
53,-73.8706,40.821749
53,-73.870695,40.822221
53,-73.870587,40.822233
53,-73.870492,40.821761
54,-73.908316,40.812259
54,-73.908161,40.812781
54,-73.908045,40.812761
54,-73.908039,40.812782
54,-73.90807,40.812788
54,-73.908071,40.812784
54,-73.90814,40.812795
54,-73.908109,40.812898
54,-73.907791,40.812844
54,-73.907825,40.81273
54,-73.907833,40.812731
54,-73.907865,40.812623
54,-73.907855,40.812621
54,-73.907901,40.812464
54,-73.907967,40.812475
54,-73.907979,40.812434
54,-73.908046,40.812446
54,-73.908112,40.812224
54,-73.908316,40.812259
55,-73.907147,40.813489
55,-73.9075,40.813551
55,-73.907459,40.813685
55,-73.907106,40.813623
55,-73.907147,40.813489
56,-73.8701889937115,40.8059856917982
56,-73.870195,40.805988
56,-73.870186,40.806118
56,-73.8701845884194,40.8061200532081
56,-73.8701889937115,40.8059856917982
57,-73.918309,40.848129
57,-73.918067,40.847954
57,-73.918379,40.847706
57,-73.918622,40.84788
57,-73.918309,40.848129
58,-73.919149,40.84872
58,-73.919227,40.8486
58,-73.919313,40.848633
58,-73.919336,40.848597
58,-73.919271,40.848573
58,-73.919317,40.848502
58,-73.919391,40.84853
58,-73.919414,40.848493
58,-73.919353,40.84847
58,-73.919421,40.848364
58,-73.919704,40.84847
58,-73.919619,40.848601
58,-73.919605,40.848596
58,-73.919528,40.848714
58,-73.919511,40.848708
58,-73.919434,40.848826
58,-73.919149,40.84872
59,-73.918203,40.851606
59,-73.918115,40.85184
59,-73.917853,40.851784
59,-73.917869,40.851741
59,-73.917788,40.851723
59,-73.917851,40.851555
59,-73.918025,40.851592
59,-73.918033,40.851569
59,-73.918203,40.851606
60,-73.914903,40.856184
60,-73.915003,40.856198
60,-73.914967,40.856341
60,-73.914867,40.856327
60,-73.914903,40.856184
61,-73.906659,40.856885
61,-73.906925,40.856374
61,-73.90706,40.856415
61,-73.906793,40.856925
61,-73.906659,40.856885
62,-73.915135,40.857275
62,-73.915328,40.857291
62,-73.915281,40.857608
62,-73.915088,40.857591
62,-73.915135,40.857275
63,-73.910793,40.849428
63,-73.910588,40.850081
63,-73.909728,40.849927
63,-73.909791,40.849723
63,-73.910208,40.849798
63,-73.910183,40.849877
63,-73.910391,40.849914
63,-73.910456,40.849708
63,-73.910367,40.849692
63,-73.910401,40.849585
63,-73.9105,40.849603
63,-73.910526,40.849518
63,-73.910412,40.849498
63,-73.910387,40.849576
63,-73.910232,40.849549
63,-73.910283,40.849387
63,-73.910453,40.849418
63,-73.910468,40.84937
63,-73.910793,40.849428
64,-73.907933,40.850296
64,-73.908011,40.850045
64,-73.908189,40.850076
64,-73.908185,40.850089
64,-73.908424,40.850131
64,-73.908352,40.850366
64,-73.908125,40.850326
64,-73.908147,40.850255
64,-73.908098,40.850246
64,-73.908075,40.850321
64,-73.907933,40.850296
65,-73.914554,40.854511
65,-73.914797,40.85455
65,-73.91476,40.854681
65,-73.914517,40.854642
65,-73.914554,40.854511
66,-73.911648,40.855023
66,-73.911348,40.855444
66,-73.911313,40.855438
66,-73.911239,40.855447
66,-73.911021,40.855762
66,-73.910672,40.855704
66,-73.910676,40.85569
66,-73.910804,40.855506
66,-73.910897,40.855543
66,-73.910876,40.855618
66,-73.910929,40.855639
66,-73.910956,40.855643
66,-73.911062,40.855495
66,-73.910978,40.855462
66,-73.910955,40.855495
66,-73.91087,40.855461
66,-73.911091,40.855141
66,-73.91122,40.855192
66,-73.91117,40.855264
66,-73.911288,40.85531
66,-73.911438,40.855094
66,-73.911405,40.855081
66,-73.911339,40.85507
66,-73.911277,40.85516
66,-73.911171,40.855118
66,-73.911279,40.854963
66,-73.911648,40.855023
67,-73.903205,40.847657
67,-73.903165,40.84783
67,-73.903024,40.847812
67,-73.903064,40.847638
67,-73.903205,40.847657
68,-73.891958,40.84669
68,-73.892387,40.84686
68,-73.892413,40.846823
68,-73.892546,40.846875
68,-73.892392,40.847098
68,-73.892215,40.847028
68,-73.892221,40.846992
68,-73.891908,40.846868
68,-73.891893,40.846969
68,-73.892209,40.847095
68,-73.891976,40.84743
68,-73.891745,40.847338
68,-73.891735,40.847357
68,-73.891723,40.847435
68,-73.892046,40.847564
68,-73.89197,40.847673
68,-73.891728,40.847577
68,-73.891735,40.84753
68,-73.891647,40.847523
68,-73.891469,40.847452
68,-73.891678,40.847152
68,-73.891775,40.84719
68,-73.891765,40.847261
68,-73.89193,40.847275
68,-73.892024,40.847139
68,-73.891862,40.847075
68,-73.891827,40.847126
68,-73.891692,40.847072
68,-73.891958,40.84669
69,-73.891309,40.849623
69,-73.891285,40.849685
69,-73.891138,40.849652
69,-73.891118,40.849702
69,-73.890934,40.84966
69,-73.890987,40.849528
69,-73.891088,40.849551
69,-73.89108,40.849571
69,-73.891309,40.849623
70,-73.927005,40.846314
70,-73.92731,40.846314
70,-73.92731,40.846496
70,-73.927005,40.846496
70,-73.927005,40.846314
71,-73.921156,40.842818
71,-73.921038,40.842777
71,-73.921045,40.84272
71,-73.92097,40.842694
71,-73.920935,40.842752
71,-73.921115,40.842814
71,-73.92106,40.842907
71,-73.920949,40.842868
71,-73.92093,40.842899
71,-73.921039,40.842937
71,-73.920979,40.843037
71,-73.920677,40.842933
71,-73.920732,40.84284
71,-73.920858,40.842884
71,-73.920879,40.842847
71,-73.920782,40.842814
71,-73.920956,40.842525
71,-73.921125,40.842583
71,-73.921173,40.842503
71,-73.921038,40.842457
71,-73.921146,40.842278
71,-73.921251,40.842314
71,-73.921245,40.842364
71,-73.921316,40.842369
71,-73.92133,40.842346
71,-73.92143,40.842381
71,-73.921367,40.842485
71,-73.921349,40.842506
71,-73.921254,40.842664
71,-73.921237,40.842683
71,-73.921156,40.842818
72,-73.928578,40.831219
72,-73.92888,40.831328
72,-73.928804,40.831448
72,-73.928627,40.831385
72,-73.928589,40.831446
72,-73.928745,40.831502
72,-73.928667,40.831627
72,-73.928386,40.831525
72,-73.928578,40.831219
73,-73.91693,40.831043
73,-73.916725,40.831443
73,-73.916648,40.83142
73,-73.916595,40.831523
73,-73.916364,40.831455
73,-73.916506,40.83118
73,-73.916622,40.831214
73,-73.916583,40.831291
73,-73.916669,40.831316
73,-73.916779,40.831102
73,-73.9167,40.831079
73,-73.91666,40.831156
73,-73.916553,40.831125
73,-73.916639,40.830957
73,-73.91693,40.831043
74,-73.925901,40.83488
74,-73.925987,40.834757
74,-73.925926,40.834732
74,-73.925951,40.834696
74,-73.92602,40.834723
74,-73.926124,40.834574
74,-73.926299,40.834644
74,-73.926084,40.834952
74,-73.925901,40.83488
75,-73.923519,40.836107
75,-73.923624,40.83614
75,-73.923569,40.83624
75,-73.923464,40.836207
75,-73.923519,40.836107
76,-73.924534,40.836986
76,-73.924414,40.836937
76,-73.924388,40.836973
76,-73.9245,40.837019
76,-73.924434,40.837111
76,-73.924156,40.836997
76,-73.924224,40.836902
76,-73.924309,40.836937
76,-73.924329,40.836909
76,-73.924253,40.836877
76,-73.924322,40.83678
76,-73.924494,40.83685
76,-73.924518,40.836817
76,-73.924385,40.836763
76,-73.924446,40.836678
76,-73.924525,40.836711
76,-73.924551,40.836675
76,-73.924476,40.836644
76,-73.924533,40.836564
76,-73.92467,40.83662
76,-73.924683,40.836603
76,-73.924787,40.836646
76,-73.924712,40.836751
76,-73.924634,40.836719
76,-73.924611,40.836752
76,-73.924681,40.836781
76,-73.924534,40.836986
77,-73.9173,40.823738
77,-73.917347,40.823656
77,-73.917616,40.823744
77,-73.917569,40.823826
77,-73.9173,40.823738
78,-73.918605,40.827061
78,-73.918434,40.827429
78,-73.917959,40.827303
78,-73.918098,40.827003
78,-73.918202,40.827031
78,-73.918234,40.826963
78,-73.918605,40.827061
79,-73.916716,40.827803
79,-73.91702,40.827886
79,-73.91685,40.828244
79,-73.916419,40.828127
79,-73.9165,40.827956
79,-73.916587,40.82798
79,-73.916532,40.828095
79,-73.916573,40.828106
79,-73.916716,40.827803
80,-73.930356,40.816417
80,-73.930777,40.816421
80,-73.930766,40.817119
80,-73.930137,40.816972
80,-73.930323,40.816507
80,-73.930323,40.8165
80,-73.930356,40.816417
81,-73.93193,40.809498
81,-73.931552,40.809776
81,-73.931062,40.809394
81,-73.93144,40.809116
81,-73.93193,40.809498
82,-73.917085,40.804804
82,-73.916948,40.805362
82,-73.916794,40.80534
82,-73.916881,40.804984
82,-73.916904,40.804988
82,-73.916954,40.804785
82,-73.917085,40.804804
83,-73.905141,40.83985
83,-73.905044,40.840065
83,-73.904873,40.84002
83,-73.904971,40.839806
83,-73.905141,40.83985
84,-73.901671,40.840868
84,-73.901973,40.840945
84,-73.901902,40.841106
84,-73.9016,40.84103
84,-73.901671,40.840868
85,-73.903375,40.843036
85,-73.903272,40.843208
85,-73.903182,40.843177
85,-73.903285,40.843005
85,-73.903375,40.843036
86,-73.889698,40.839674
86,-73.88957,40.839844
86,-73.889515,40.839836
86,-73.889166,40.839691
86,-73.889154,40.839708
86,-73.889052,40.839693
86,-73.888972,40.839803
86,-73.888756,40.839713
86,-73.888706,40.839782
86,-73.888504,40.839752
86,-73.888496,40.839782
86,-73.888577,40.839816
86,-73.888603,40.83978
86,-73.888673,40.839809
86,-73.888631,40.839968
86,-73.888325,40.839841
86,-73.888541,40.839544
86,-73.888833,40.839588
86,-73.888835,40.839579
86,-73.888593,40.839478
86,-73.888615,40.839394
86,-73.888763,40.839416
86,-73.888769,40.839394
86,-73.888674,40.839355
86,-73.888704,40.839243
86,-73.888976,40.839356
86,-73.888959,40.839421
86,-73.889161,40.839451
86,-73.889698,40.839674
87,-73.887902,40.840576
87,-73.88795,40.840539
87,-73.888089,40.840642
87,-73.888041,40.840679
87,-73.887902,40.840576
88,-73.886646,40.846676
88,-73.886546,40.846649
88,-73.886543,40.846655
88,-73.886398,40.846616
88,-73.886428,40.846552
88,-73.886764,40.846642
88,-73.886738,40.846697
88,-73.886797,40.846713
88,-73.886764,40.846783
88,-73.886707,40.846768
88,-73.886681,40.846824
88,-73.886702,40.84683
88,-73.886673,40.846892
88,-73.886509,40.846847
88,-73.886527,40.846808
88,-73.886454,40.846788
88,-73.88648,40.846731
88,-73.886568,40.846755
88,-73.886551,40.846791
88,-73.886587,40.846801
88,-73.886646,40.846676
89,-73.880094,40.839661
89,-73.880086,40.839661
89,-73.879714,40.839576
89,-73.879679,40.839664
89,-73.879719,40.839673
89,-73.879648,40.83985
89,-73.879189,40.839739
89,-73.879188,40.839719
89,-73.879256,40.839548
89,-73.879326,40.839548
89,-73.879363,40.839454
89,-73.879357,40.839452
89,-73.879619,40.838792
89,-73.879598,40.838787
89,-73.879597,40.838753
89,-73.879828,40.838751
89,-73.879776,40.83888
89,-73.879926,40.838922
89,-73.879935,40.8389
89,-73.880062,40.838929
89,-73.880063,40.83899
89,-73.880336,40.839052
89,-73.880094,40.839661
90,-73.876605,40.840104
90,-73.876605,40.840105
90,-73.876398,40.840467
90,-73.875826,40.840289
90,-73.875829,40.840262
90,-73.875795,40.840261
90,-73.875727,40.840239
90,-73.875767,40.840166
90,-73.875683,40.84014
90,-73.875646,40.840208
90,-73.875562,40.840182
90,-73.875638,40.840044
90,-73.875913,40.840059
90,-73.875912,40.840072
90,-73.87584,40.840205
90,-73.875864,40.840203
90,-73.876029,40.840254
90,-73.876058,40.8402
90,-73.875896,40.84015
90,-73.875944,40.840062
90,-73.876147,40.840073
90,-73.876216,40.840095
90,-73.876226,40.840076
90,-73.876579,40.840096
90,-73.876605,40.840104
91,-73.887945,40.830623
91,-73.887909,40.830672
91,-73.887844,40.830644
91,-73.88788,40.830596
91,-73.887945,40.830623
92,-73.88724,40.836087
92,-73.886991,40.836593
92,-73.886823,40.836546
92,-73.887073,40.83604
92,-73.88724,40.836087
93,-73.880744,40.831758
93,-73.880773,40.831871
93,-73.880539,40.831905
93,-73.88051,40.831793
93,-73.880744,40.831758
94,-73.87926,40.832456
94,-73.879484,40.832428
94,-73.879507,40.832535
94,-73.879283,40.832562
94,-73.87926,40.832456
95,-73.880906,40.833096
95,-73.880979,40.833129
95,-73.880857,40.833282
95,-73.880784,40.833249
95,-73.880906,40.833096
96,-73.915162,40.824892
96,-73.914007,40.824572
96,-73.913995,40.824595
96,-73.913818,40.824546
96,-73.913898,40.82438
96,-73.915231,40.824749
96,-73.915162,40.824892
97,-73.908638,40.830048
97,-73.90872,40.829914
97,-73.908627,40.829881
97,-73.908687,40.829784
97,-73.908908,40.829862
97,-73.908928,40.82983
97,-73.90909,40.829887
97,-73.90893,40.83015
97,-73.908638,40.830048
98,-73.900958,40.822922
98,-73.900841,40.823251
98,-73.900876,40.823258
98,-73.900844,40.823349
98,-73.900697,40.823319
98,-73.90069,40.823337
98,-73.900528,40.823304
98,-73.900469,40.82347
98,-73.900271,40.82343
98,-73.900485,40.822826
98,-73.900958,40.822922
99,-73.903429,40.82654
99,-73.90347,40.826424
99,-73.903347,40.826399
99,-73.903384,40.826295
99,-73.903518,40.826322
99,-73.903554,40.82622
99,-73.903688,40.826248
99,-73.903647,40.826362
99,-73.903772,40.826387
99,-73.903735,40.82649
99,-73.903599,40.826462
99,-73.903561,40.826567
99,-73.903429,40.82654
100,-73.901551,40.827921
100,-73.901099,40.827836
100,-73.901134,40.827731
100,-73.901586,40.827816
100,-73.901551,40.827921
101,-73.911145,40.814281
101,-73.911034,40.814681
101,-73.91093,40.814665
101,-73.910921,40.814699
101,-73.911,40.814711
101,-73.910969,40.814823
101,-73.910666,40.814775
101,-73.9107,40.814654
101,-73.910847,40.814678
101,-73.910858,40.814638
101,-73.910731,40.814618
101,-73.910838,40.814232
101,-73.911145,40.814281
102,-73.906265,40.818282
102,-73.906883,40.818404
102,-73.906819,40.818588
102,-73.906641,40.818553
102,-73.906622,40.818606
102,-73.906512,40.818584
102,-73.906572,40.818412
102,-73.906526,40.818403
102,-73.906469,40.81857
102,-73.906363,40.818549
102,-73.906422,40.818378
102,-73.906362,40.818366
102,-73.906323,40.818478
102,-73.906363,40.818486
102,-73.906343,40.818545
102,-73.906185,40.818513
102,-73.906265,40.818282
103,-73.91461,40.819199
103,-73.915295,40.819355
103,-73.915279,40.819395
103,-73.915359,40.819413
103,-73.915368,40.819391
103,-73.915807,40.819491
103,-73.915781,40.819556
103,-73.915861,40.819574
103,-73.915883,40.819519
103,-73.91604,40.819555
103,-73.915912,40.819876
103,-73.915782,40.819847
103,-73.915836,40.819711
103,-73.915457,40.819625
103,-73.915442,40.819664
103,-73.915262,40.819623
103,-73.915293,40.819545
103,-73.915338,40.819555
103,-73.915374,40.819463
103,-73.915322,40.819452
103,-73.915287,40.819541
103,-73.914881,40.819449
103,-73.914845,40.819538
103,-73.914506,40.819461
103,-73.91461,40.819199
104,-73.915389,40.821859
104,-73.916001,40.822017
104,-73.915944,40.822144
104,-73.915332,40.821986
104,-73.915389,40.821859
105,-73.901579,40.816937
105,-73.901603,40.816867
105,-73.901672,40.81688
105,-73.901614,40.817045
105,-73.901262,40.816974
105,-73.901296,40.81688
105,-73.901579,40.816937
106,-73.89651,40.817078
106,-73.896181,40.817417
106,-73.896198,40.817457
106,-73.895922,40.81775
106,-73.895924,40.817755
106,-73.895765,40.817924
106,-73.895704,40.817939
106,-73.895473,40.817398
106,-73.895559,40.817196
106,-73.895927,40.816807
106,-73.895954,40.816814
106,-73.896105,40.816895
106,-73.896148,40.81685
106,-73.896304,40.816934
106,-73.895904,40.817357
106,-73.895839,40.817373
106,-73.895812,40.817367
106,-73.895688,40.817498
106,-73.895679,40.817519
106,-73.895726,40.817507
106,-73.895768,40.817463
106,-73.895794,40.817469
106,-73.895841,40.817495
106,-73.895889,40.817506
106,-73.896362,40.817006
106,-73.89639,40.817013
106,-73.89651,40.817078
107,-73.894324,40.818603
107,-73.894173,40.818767
107,-73.894243,40.818804
107,-73.894179,40.818872
107,-73.893955,40.818754
107,-73.894169,40.818522
107,-73.894324,40.818603
108,-73.888113,40.824235
108,-73.887808,40.824243
108,-73.887803,40.824125
108,-73.888108,40.824116
108,-73.888113,40.824235
109,-73.891717,40.828767
109,-73.891709,40.829098
109,-73.891309,40.829092
109,-73.891311,40.829022
109,-73.891437,40.829024
109,-73.891441,40.828887
109,-73.891367,40.828886
109,-73.89137,40.828746
109,-73.891492,40.828748
109,-73.891492,40.828764
109,-73.891717,40.828767
110,-73.881729,40.822715
110,-73.881879,40.822699
110,-73.881873,40.822666
110,-73.882264,40.822622
110,-73.882302,40.822821
